name,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,ef21corr_rand,f21corr,f21,limflagmhi,confused,deconf_mode,ef21corr_sys,hitelescope,rms_hi,e_f21,dens_corr_b,f_s16sample_s,dens_corr_s,groupmass_b,groupid_b,dist_b,dens_b,f_dist_s,dist_s,f_s16sample_b,groupid_s,groupmass_s,dens_s,f_dist_b
rf0101,0.019,0.65,0.03,0.012,-99.0,0.069,15.168,0.125,-99.0,22.045,0.049,-0.8195,0.032,0.409,0.579,0.169,16.2794,0.09,-99.0,15.271,3.17,18.129,16.05,17.439,0.949,2.204,-0.026,-99.0,17.093,0.78,0.301,8.98,-99.0,0.022,3.589,4.417,2.335,2.035,8.83,-99.0,5226.82,-99.0,0.025,-17.097,3.031,16.823,0.309,0.039,0.042,5422.7,0.42,0.201,0.025,-99.0,19.55,1,0.0,0.0,0.03,1,0,0,0.0,AO,0.35,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0102,0.02,0.217,0.031,0.013,0.303,0.071,15.075,0.13,-99.0,18.679,0.051,-0.4609,0.048,0.496,0.846,0.176,16.3284,0.094,-99.0,-99.0,5.81,17.401,16.169,17.096,0.358,1.465,-0.081,14.949,16.99,0.74,0.313,14.5,0.499,0.029,2.229,3.024,1.123,0.982,8.43,-99.0,6041.9,-99.0,0.023,-17.679,2.26,16.776,0.322,0.041,0.03,6041.9,0.226,-99.0,0.021,15.428,18.241,1,0.0,0.0,1.49,0,0,0,0.0,GBT,1.95,0.08,12.98,0,0.0,11.18,20042.0,0.91,12.98,0,0.0,1,0.0,0.0,0.0,0
rf0103,0.021,0.482,0.033,0.013,0.396,0.076,14.457,0.138,-99.0,19.639,0.054,-0.3443,0.186,0.488,0.411,0.188,16.3727,0.1,-99.0,15.096,6.3,17.038,15.534,16.484,0.727,1.919,0.017,14.283,16.193,0.92,0.334,13.02,0.177,0.023,3.119,3.93,1.928,1.682,9.07,-99.0,5425.3,-99.0,0.055,-18.063,2.73,15.959,0.343,0.044,0.118,5425.3,0.053,0.147,0.021,14.158,18.262,1,0.0,0.0,0.15,0,0,0,0.0,AO,0.39,0.02,0.0,1,12.31,0.0,0.0,0.0,0.0,0,0.95,0,10040.0,11.18,12.31,0
rf0104,0.025,0.288,0.038,0.016,1.358,0.089,15.05,0.161,-99.0,19.236,0.063,-0.986,0.039,0.437,0.73,0.219,16.4755,0.117,-99.0,15.507,7.63,17.164,15.866,16.782,0.454,1.563,0.003,14.777,16.592,0.38,0.39,17.35,0.122,0.022,2.604,3.396,1.495,1.329,8.63,-99.0,5408.4,-99.0,0.022,-17.775,2.355,16.415,0.401,0.051,0.052,5408.4,0.022,0.15,0.022,14.702,18.199,1,0.0,0.0,0.41,0,0,0,0.0,GBT,0.94,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0105,0.018,0.235,0.029,0.012,0.166,0.066,15.983,0.121,-99.0,19.476,0.047,0.2691,0.043,0.317,-99.0,0.164,16.4984,0.088,-99.0,-99.0,2.12,18.136,-99.0,17.833,0.385,1.5,0.051,-99.0,17.668,0.68,0.292,4.77,-99.0,0.028,2.282,3.078,1.166,1.017,8.19,-99.0,6014.3,-99.0,0.025,-16.925,2.297,17.519,0.3,0.038,0.038,6014.3,0.443,-99.0,0.021,15.842,18.985,0,0.0,0.0,0.15,0,0,0,0.0,AO,0.41,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0106,0.015,0.326,0.023,0.009,0.258,0.053,13.08,0.096,13.437,18.099,0.037,0.7763,0.034,0.491,0.154,0.13,16.5296,0.069,0.31,14.4,16.28,16.14,14.873,15.736,0.518,1.7,-0.106,14.029,15.527,0.85,0.231,31.58,0.878,0.022,2.702,3.536,1.521,1.329,9.03,-99.0,5308.2,-99.0,0.033,-18.732,2.533,15.353,0.237,0.03,0.028,5308.2,0.069,0.784,0.021,13.665,17.086,1,0.0,0.0,2.04,0,0,0,0.0,ALFALFA,2.91,0.07,11.82,1,11.88,11.23,20043.0,1.11,11.71,0,1.04,1,10041.0,11.15,11.77,0
rf0107,0.016,0.185,0.025,0.01,0.139,0.058,14.346,0.105,-99.0,18.32,0.041,0.3454,0.031,0.458,-99.0,0.143,16.5977,0.076,-99.0,15.474,3.11,16.784,-99.0,16.53,0.301,1.352,0.098,-99.0,16.396,0.85,0.254,7.96,-99.0,0.021,2.234,2.994,1.183,1.067,8.49,-99.0,5291.3,-99.0,0.021,-17.939,2.112,16.262,0.261,0.033,0.031,5291.3,0.044,0.154,0.021,14.871,17.7,1,0.0,0.0,0.43,0,0,0,0.0,AO,0.62,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0108,0.017,0.459,0.026,0.011,0.157,0.061,14.766,0.111,-99.0,20.718,0.043,0.65,0.039,1.013,0.958,0.151,16.6166,0.081,-99.0,15.972,3.7,17.835,16.104,17.311,0.685,1.844,0.085,-99.0,17.058,0.72,0.269,9.88,-99.0,0.024,3.086,3.878,1.927,1.701,8.69,-99.0,5975.4,-99.0,0.022,-17.426,2.636,16.867,0.276,0.035,0.064,5975.4,0.041,0.315,0.021,15.495,19.147,1,0.0,0.0,0.29,0,0,0,0.0,AO,0.68,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0109,0.019,0.406,0.029,0.012,-99.0,0.067,13.264,0.122,13.53,18.195,0.048,-0.1336,0.031,0.054,0.059,0.166,16.6397,0.089,0.182,14.162,8.98,16.069,14.528,15.601,0.621,1.78,-0.051,13.543,15.354,0.3,0.295,20.49,0.203,0.022,2.858,3.65,1.7,1.485,9.35,-99.0,5564.3,-99.0,0.027,-18.989,2.572,15.157,0.303,0.039,0.055,5564.3,0.049,0.203,0.021,-99.0,17.173,1,0.0,0.0,1.87,0,0,0,0.0,ALFALFA,2.81,0.11,11.84,1,11.85,11.29,20044.0,1.54,11.84,0,1.45,1,10042.0,11.28,11.85,0
rf0110,0.018,0.204,0.027,0.011,0.736,0.063,-99.0,0.115,-99.0,19.848,0.045,0.2437,0.039,-99.0,-99.0,0.157,16.6954,0.084,-99.0,-99.0,8.0,18.11,-99.0,17.83,0.333,1.421,-0.011,-99.0,17.676,0.63,0.279,15.68,-99.0,0.023,2.339,3.13,1.251,1.122,8.15,-99.0,6132.5,-99.0,0.067,-16.966,2.212,17.56,0.286,0.036,0.046,6132.5,0.121,-99.0,0.024,16.506,19.006,0,0.0,0.0,0.4,0,0,0,0.0,AO,0.88,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0111,0.027,0.296,0.043,0.018,0.348,0.099,13.843,0.181,14.065,18.343,0.071,-0.5704,0.067,0.259,0.119,0.246,16.7125,0.131,0.401,14.557,7.11,16.438,15.158,16.031,0.469,1.6,-0.038,13.813,15.828,0.58,0.437,14.85,0.12,0.024,2.584,3.382,1.452,1.28,8.91,-99.0,5365.07,-99.0,0.038,-18.507,2.399,15.659,0.449,0.057,0.05,5328.4,0.019,0.187,0.028,14.132,17.441,1,0.0,0.0,0.31,0,0,0,0.0,AO,0.81,0.03,0.0,1,12.91,0.0,0.0,0.0,0.0,0,0.0,0,10043.0,12.22,12.9,0
rf0112,0.028,0.297,0.043,0.018,0.687,0.101,15.47,0.183,14.42,20.046,0.071,-0.7565,0.145,1.42,0.388,0.248,16.7358,0.133,0.283,15.738,8.38,17.734,16.659,17.302,0.472,1.638,0.001,-99.0,17.109,0.84,0.442,17.07,-99.0,0.025,2.667,3.501,1.501,1.326,8.39,-99.0,5365.07,-99.0,0.067,-17.25,2.472,16.969,0.454,0.058,0.037,5357.3,0.096,0.256,0.023,15.531,18.355,1,0.0,0.0,0.31,0,0,0,0.0,GBT,0.92,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0113,0.03,0.657,0.047,0.019,0.086,0.108,10.721,0.196,10.567,18.733,0.077,-0.6215,0.15,0.131,0.144,0.267,16.7884,0.142,0.148,11.635,37.98,13.452,11.952,12.719,0.947,2.149,-0.109,10.842,12.252,0.85,0.475,110.16,0.186,0.031,3.496,4.246,2.294,2.004,10.69,-99.0,5365.07,-99.0,0.055,-21.871,2.899,12.138,0.488,0.062,0.448,5427.9,0.238,0.078,0.024,10.975,14.406,1,0.0,0.0,0.2,1,0,0,0.0,GBT,1.25,0.0,11.87,1,12.91,12.12,20045.0,0.0,11.87,0,0.0,1,10043.0,12.22,12.9,0
rf0114,0.015,0.734,0.023,0.01,0.042,0.054,10.245,0.098,10.241,18.63,0.038,0.926,0.042,0.046,0.095,0.134,16.8441,0.071,0.028,11.298,9.46,13.689,11.751,12.911,1.074,2.378,-0.04,10.613,12.503,0.83,0.238,55.7,0.015,0.023,3.88,4.789,2.576,2.236,10.79,-99.0,5510.44,-99.0,0.023,-21.626,3.287,12.248,0.244,0.031,0.073,5473.8,0.06,0.02,0.022,10.572,15.203,1,0.0,0.0,0.17,1,0,0,0.0,AO,1.04,0.0,11.86,1,11.92,12.32,20046.0,0.0,11.71,0,0.0,1,10044.0,12.39,11.77,0
rf0115,0.015,0.713,0.023,0.01,0.178,0.054,13.073,0.099,13.151,20.709,0.038,0.8927,0.022,0.193,-99.0,0.134,16.8476,0.072,0.063,14.181,8.04,16.705,-99.0,15.934,1.057,2.408,-0.026,13.472,15.549,0.28,0.238,17.34,0.14,0.021,3.927,4.861,2.576,2.232,9.65,-99.0,5510.44,-99.0,0.078,-18.68,3.342,15.262,0.245,0.031,0.249,5671.7,0.042,0.104,0.026,13.485,18.174,1,0.0,0.0,0.05,1,0,0,0.0,AO,0.33,0.0,11.86,1,11.92,12.32,20046.0,0.0,11.71,0,0.0,1,10044.0,12.39,11.77,0
rf0116,0.015,0.682,0.023,0.01,0.298,0.054,12.838,0.098,13.128,21.244,0.038,0.8898,0.023,0.421,0.252,0.134,16.8813,0.071,0.343,13.76,3.61,16.545,14.506,15.825,0.992,2.295,-0.033,13.391,15.472,0.95,0.238,12.58,0.268,0.022,3.731,4.598,2.428,2.118,9.49,-99.0,5510.44,-99.0,0.021,-18.694,3.162,15.208,0.244,0.031,0.092,5426.6,0.049,0.127,0.021,13.524,17.873,1,0.0,0.0,0.05,1,0,0,0.0,AO,0.62,0.0,11.86,1,11.92,12.32,20046.0,0.0,11.71,0,0.0,1,10044.0,12.39,11.77,0
rf0117,0.02,0.355,0.031,0.013,0.172,0.072,14.557,0.131,14.394,18.876,0.051,-0.0754,0.033,0.175,0.248,0.178,17.0091,0.095,0.101,14.941,6.33,16.909,15.607,16.486,0.542,1.649,-0.13,14.333,16.257,0.51,0.317,13.54,0.162,0.025,2.672,3.424,1.565,1.377,8.89,-99.0,5280.4,-99.0,0.021,-17.996,2.401,16.095,0.325,0.041,0.032,5280.4,0.063,0.158,0.021,14.701,17.976,1,0.0,0.0,0.57,0,0,0,0.0,AO,0.77,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0118,0.016,0.236,0.025,0.01,0.263,0.057,14.704,0.103,-99.0,19.275,0.04,1.1454,0.091,0.588,0.826,0.14,17.0145,0.075,-99.0,-99.0,5.12,17.81,16.572,17.492,0.378,1.458,-0.089,-99.0,17.325,0.6,0.25,11.2,-99.0,0.025,2.314,3.081,1.235,1.092,8.27,-99.0,5879.2,-99.0,0.023,-17.204,2.224,17.215,0.257,0.033,0.093,5879.2,0.131,-99.0,0.021,16.214,18.609,1,0.0,0.0,0.96,0,0,0,0.0,ALFALFA,2.91,0.09,11.86,0,0.0,12.32,20046.0,0.0,11.71,0,0.0,1,0.0,0.0,0.0,0
rf0119,0.032,0.333,0.05,0.02,0.328,0.115,14.625,0.209,-99.0,19.9,0.082,-0.7949,0.113,0.67,0.47,0.284,17.0219,0.152,-99.0,-99.0,5.45,17.711,16.157,17.292,0.537,1.772,-0.035,-99.0,17.031,0.74,0.506,11.08,-99.0,0.045,2.821,3.701,1.586,1.382,8.49,-99.0,5605.6,-99.0,0.024,-17.377,2.652,16.844,0.52,0.066,0.076,5605.6,0.051,-99.0,0.022,15.169,18.681,1,0.0,0.0,0.2,0,0,0,0.0,GBT,0.68,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0120,0.02,0.202,0.032,0.013,0.454,0.074,16.127,0.134,-99.0,19.79,0.052,-0.3433,0.072,0.593,0.468,0.183,17.0555,0.097,-99.0,-99.0,6.55,18.12,16.983,17.845,0.326,1.388,-0.044,-99.0,17.694,0.26,0.325,13.82,-99.0,0.023,2.303,3.072,1.241,1.117,8.01,-99.0,5242.3,-99.0,0.027,-16.625,2.157,17.538,0.334,0.043,0.054,5242.3,0.15,-99.0,0.023,16.363,19.065,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0121,0.018,0.227,0.029,0.012,0.911,0.066,16.091,0.12,-99.0,19.836,0.047,0.02,0.334,0.397,0.348,0.163,17.0928,0.087,-99.0,-99.0,3.94,18.103,17.083,17.775,0.363,1.435,0.003,-99.0,17.613,0.93,0.29,8.44,-99.0,0.031,2.373,3.142,1.301,1.165,8.07,-99.0,5265.9,-99.0,0.028,-16.694,2.205,17.445,0.298,0.038,0.041,5265.9,0.055,-99.0,0.024,16.317,19.004,0,0.0,0.0,0.18,1,0,0,0.0,ALFALFA,2.43,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0122,0.018,0.224,0.028,0.012,0.308,0.066,15.563,0.12,-99.0,19.18,0.047,-0.3439,0.089,0.914,0.32,0.162,17.385,0.087,-99.0,-99.0,5.43,17.718,16.685,17.408,0.366,1.475,-0.056,-99.0,17.262,0.45,0.289,11.71,-99.0,0.045,2.341,3.138,1.231,1.089,8.25,-99.0,5610.2,-99.0,0.072,-17.198,2.273,17.148,0.297,0.038,0.146,5610.2,0.122,-99.0,0.021,15.492,18.618,1,0.0,0.0,1.7,0,0,0,0.0,GBT,1.15,0.05,11.66,0,0.0,11.17,20047.0,1.29,11.66,0,0.0,1,0.0,0.0,0.0,0
rf0123,0.035,0.4,0.055,0.023,0.468,0.128,15.401,0.232,-99.0,20.443,0.091,-0.9537,0.124,0.633,0.82,0.315,17.4277,0.168,-99.0,-99.0,4.03,18.19,16.542,17.684,0.644,1.966,0.03,14.184,17.425,0.86,0.561,8.49,0.191,0.022,3.035,3.962,1.713,1.469,8.39,-99.0,5291.7,-99.0,0.024,-16.877,2.893,17.22,0.576,0.073,0.078,5291.7,0.078,-99.0,0.022,14.975,19.262,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0124,0.015,0.69,0.023,0.009,0.063,0.053,10.955,0.097,10.952,18.356,0.038,0.4119,0.021,0.07,0.039,0.132,17.5049,0.07,0.132,11.924,8.03,14.626,12.521,13.87,1.028,2.44,-0.071,11.275,13.462,0.71,0.234,23.21,0.125,0.04,3.947,4.895,2.535,2.197,10.43,-99.0,5792.8,-99.0,0.021,-20.789,3.388,13.209,0.24,0.031,0.033,5792.8,0.02,0.046,0.02,11.394,16.159,1,0.0,0.0,0.31,1,0,0,0.0,GBT,1.9,0.0,11.72,1,11.75,11.79,20048.0,1.68,11.72,1,1.48,1,10045.0,11.88,11.75,1
rf0125,0.019,0.674,0.029,0.012,0.024,0.067,11.664,0.122,11.426,18.559,0.048,-0.2779,0.027,0.143,0.017,0.166,17.6595,0.089,0.083,12.449,17.02,15.039,13.072,14.305,1.007,2.328,-0.114,11.772,13.907,0.28,0.295,39.33,0.089,0.032,3.773,4.702,2.452,2.118,10.25,-99.0,5579.7,-99.0,0.02,-20.291,3.258,13.618,0.303,0.039,0.038,5579.7,0.047,0.045,0.024,11.88,16.533,1,0.0,0.0,0.96,0,0,0,0.0,GBT,1.11,0.07,12.14,1,13.25,11.67,20049.0,0.83,12.14,0,0.73,1,10046.0,11.76,13.25,0
rf0126,0.015,0.453,0.023,0.01,-99.0,0.054,12.518,0.098,12.281,17.229,0.038,0.1982,0.025,0.174,0.186,0.134,17.7119,0.071,0.247,13.265,10.98,15.087,13.569,14.581,0.684,1.84,-0.137,12.493,14.303,0.74,0.238,37.76,0.119,0.025,2.941,3.712,1.786,1.554,9.83,-99.0,5396.4,-99.0,0.043,-19.926,2.611,14.104,0.244,0.031,0.079,5396.4,0.058,0.063,0.03,-99.0,16.185,1,0.0,0.0,3.31,0,0,0,0.0,ALFALFA,3.14,0.11,12.12,1,12.15,11.51,20050.0,1.09,12.12,0,0.97,1,10047.0,11.5,12.15,0
rf0127,0.016,0.525,0.024,0.01,0.093,0.056,12.782,0.102,12.723,18.228,0.04,0.4337,0.037,0.085,0.049,0.139,17.7472,0.074,0.082,13.799,3.44,15.956,14.168,15.36,0.805,2.093,-0.113,13.064,15.064,0.75,0.247,9.03,0.053,0.023,3.256,4.149,1.967,1.688,9.63,-99.0,5755.2,-99.0,0.035,-19.289,2.986,14.83,0.254,0.032,0.055,5755.2,0.115,0.058,0.021,13.036,17.185,1,0.0,0.0,1.54,0,0,0,0.0,ALFALFA,4.18,0.2,12.11,1,12.13,11.35,20051.0,1.46,12.11,1,1.29,1,10048.0,11.39,12.13,1
rf0128,0.015,0.237,0.023,0.01,0.337,0.054,13.464,0.098,13.776,17.442,0.038,-0.4557,0.027,0.14,0.364,0.134,17.8157,0.071,0.189,14.645,10.68,15.837,14.811,15.512,0.375,1.424,-0.107,14.243,15.328,0.57,0.238,24.86,0.425,0.021,2.351,3.09,1.302,1.164,9.05,-99.0,5420.5,-99.0,0.021,-19.004,2.164,15.181,0.244,0.031,0.027,5420.5,0.023,0.229,0.028,13.807,16.762,1,0.0,0.0,2.13,0,0,0,0.0,GBT,2.42,0.11,13.38,1,11.54,11.26,20052.0,0.6,13.38,0,0.52,1,10049.0,11.16,11.24,0
rf0129,0.016,0.472,0.025,0.01,0.043,0.057,12.8,0.103,12.613,18.052,0.04,0.4623,0.022,0.078,0.032,0.14,17.8981,0.075,0.127,13.551,10.11,15.712,14.078,15.189,0.725,1.975,-0.057,12.834,14.908,0.21,0.249,21.62,0.083,0.021,3.111,3.975,1.861,1.608,9.39,-99.0,4642.9,-99.0,0.021,-18.994,2.839,14.683,0.255,0.033,0.03,4642.9,0.041,0.119,0.021,12.988,16.869,1,0.0,0.0,2.17,0,0,0,0.0,S05-AO,0.83,0.15,10.65,1,11.03,11.24,20053.0,14.35,10.31,1,13.82,1,10050.0,11.29,10.54,1
rf0130,0.016,0.644,0.025,0.01,0.057,0.057,10.602,0.103,10.686,18.34,0.04,-0.6643,0.021,0.068,0.041,0.141,17.944,0.075,0.019,11.618,4.26,13.986,11.983,13.31,0.94,2.264,-0.011,10.856,12.971,0.83,0.25,15.26,0.054,0.032,3.704,4.606,2.38,2.084,10.27,-99.0,5620.7,-99.0,0.02,-21.224,3.166,12.739,0.257,0.033,0.04,5455.3,0.031,0.022,0.02,10.895,15.58,1,0.0,0.0,0.29,1,0,0,0.0,GBT,1.93,0.0,13.29,1,13.0,12.04,20054.0,0.0,13.29,0,0.0,1,10051.0,12.14,12.99,0
rf0131,0.015,0.625,0.024,0.01,0.144,0.055,14.057,0.1,14.105,21.48,0.039,-0.6197,0.076,2.417,0.275,0.136,17.9596,0.073,0.333,15.404,4.3,17.699,15.839,17.041,0.918,2.194,0.007,-99.0,16.711,0.49,0.242,11.39,-99.0,0.038,3.59,4.452,2.314,2.021,8.99,-99.0,5620.7,-99.0,0.032,-17.613,3.057,16.454,0.248,0.032,0.092,5771.4,0.491,0.131,0.024,14.787,19.192,1,0.0,0.0,0.05,1,0,0,0.0,AO,0.45,0.0,0.0,1,13.0,0.0,0.0,0.0,0.0,0,0.0,0,10051.0,12.14,12.99,0
rf0132,0.015,0.643,0.024,0.01,0.031,0.055,11.631,0.1,11.512,18.236,0.039,-0.6302,0.022,0.148,0.426,0.136,17.9638,0.073,0.04,12.514,4.19,15.051,12.739,14.368,0.97,2.36,0.067,11.804,13.967,0.9,0.242,15.22,0.034,0.022,3.774,4.715,2.384,2.057,10.19,-99.0,5620.7,-99.0,0.021,-20.234,3.301,13.713,0.248,0.032,0.049,5635.4,0.033,0.045,0.02,11.919,16.478,1,0.0,0.0,0.42,0,0,0,0.0,AO,0.71,0.05,13.29,1,13.0,12.04,20054.0,0.0,13.29,0,0.0,1,10051.0,12.14,12.99,0
rf0133,0.015,0.657,0.024,0.01,0.016,0.056,11.12,0.101,11.469,17.607,0.039,-0.4101,0.021,0.035,0.026,0.137,18.0361,0.073,0.209,12.039,9.32,14.475,12.473,13.755,0.98,2.27,-0.11,11.347,13.379,0.78,0.244,32.53,0.032,0.021,3.664,4.568,2.373,2.05,10.45,-99.0,5402.83,-99.0,0.023,-20.821,3.175,13.14,0.25,0.032,0.058,5568.0,0.139,0.026,0.021,11.391,15.967,1,0.0,0.0,2.56,0,0,0,0.0,AO,1.32,0.08,13.39,1,13.53,13.23,20055.0,0.0,13.39,0,0.0,1,10052.0,13.43,13.53,0
rf0134,0.02,0.369,0.031,0.013,0.524,0.072,-99.0,0.13,12.3,17.423,0.051,0.2937,0.027,-99.0,0.14,0.177,18.1413,0.095,1.673,13.241,13.05,15.366,13.841,14.929,0.587,1.828,-0.066,12.45,14.668,0.68,0.315,27.52,0.317,0.021,2.869,3.743,1.628,1.41,9.51,-99.0,5832.5,-99.0,0.04,-19.769,2.701,14.499,0.324,0.041,0.027,5832.5,0.015,0.531,0.022,12.711,16.435,1,0.0,0.0,3.36,0,0,0,0.0,ALFALFA,8.36,0.35,12.86,1,11.66,11.46,20056.0,1.05,12.86,0,0.94,1,10053.0,11.34,11.66,0
rf0135,0.015,0.675,0.024,0.01,0.376,0.055,14.468,0.101,14.343,22.056,0.039,-0.4146,0.04,0.522,0.296,0.137,18.1488,0.073,0.354,14.849,3.44,17.579,15.718,16.859,0.982,2.243,-0.005,14.715,16.523,0.94,0.244,9.69,0.288,0.021,3.656,4.486,2.395,2.088,9.11,-99.0,5402.83,-99.0,0.023,-17.671,3.073,16.277,0.25,0.032,0.09,5451.7,0.206,0.077,0.021,14.703,19.071,1,0.02,0.2,0.98,0,1,1,0.07,GBT,1.04,0.06,0.0,1,13.53,0.0,0.0,0.0,0.0,0,0.0,0,10052.0,13.43,13.53,0
rf0136,0.018,0.598,0.028,0.012,-99.0,0.066,-99.0,0.12,-99.0,22.304,0.047,-0.2454,0.172,-99.0,0.574,0.163,18.1776,0.087,-99.0,-99.0,4.61,18.449,17.22,17.78,0.858,2.058,-0.008,-99.0,17.479,0.95,0.289,9.9,-99.0,0.027,3.377,4.151,2.177,1.918,8.59,-99.0,5402.83,-99.0,0.033,-16.852,2.832,17.084,0.297,0.038,0.099,5675.9,0.459,-99.0,0.03,-99.0,19.535,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0137,0.015,0.565,0.024,0.01,0.642,0.056,14.923,0.102,14.046,21.546,0.04,-0.4025,0.053,0.329,0.648,0.138,18.1784,0.074,0.423,-99.0,4.58,18.197,16.448,17.575,0.848,2.152,0.02,-99.0,17.266,0.4,0.246,10.84,-99.0,0.025,3.512,4.411,2.209,1.925,8.61,-99.0,5402.83,-99.0,0.034,-16.9,3.051,17.023,0.252,0.032,0.1,5312.6,0.156,-99.0,0.028,14.864,19.463,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0138,0.019,0.768,0.03,0.012,-99.0,0.069,-99.0,0.126,9.924,17.835,0.049,-0.2901,0.027,-99.0,-99.0,0.171,18.2024,0.091,0.059,10.947,11.34,13.586,-99.0,12.755,1.13,2.58,-0.036,10.127,12.307,0.7,0.304,57.28,0.111,0.021,4.2,5.141,2.75,2.387,10.97,-99.0,5402.83,-99.0,0.022,-21.763,3.522,11.978,0.312,0.04,0.082,5375.0,0.052,0.096,0.02,-99.0,15.29,1,0.09,0.69,0.92,0,1,1,0.21,GBT,1.48,0.09,13.39,1,13.53,13.23,20055.0,0.0,13.39,0,0.0,1,10052.0,13.43,13.53,0
rf0139,0.018,0.773,0.029,0.012,-99.0,0.067,-99.0,0.121,10.389,19.118,0.047,-0.3449,0.022,-99.0,0.068,0.165,18.2393,0.088,0.132,11.361,8.88,14.112,11.857,13.299,1.131,2.572,-0.042,10.616,12.882,0.32,0.293,35.85,0.081,0.022,4.204,5.144,2.763,2.405,10.71,-99.0,5730.7,-99.0,0.02,-21.354,3.512,12.588,0.301,0.038,0.063,5730.7,0.086,0.014,0.02,-99.0,15.89,1,0.0,0.0,1.0,1,0,0,0.0,GBT,5.03,0.0,13.48,1,13.53,12.24,20057.0,0.0,13.48,0,0.0,1,10052.0,13.43,13.53,0
rf0140,0.018,0.769,0.028,0.011,-99.0,0.064,-99.0,0.116,9.529,18.135,0.045,-0.2524,0.038,-99.0,0.031,0.158,18.2498,0.084,0.1,10.553,9.82,13.285,11.101,12.459,1.132,2.52,-0.034,9.771,12.031,0.82,0.281,45.58,0.169,0.021,4.127,5.082,2.74,2.376,11.07,-99.0,5402.83,-99.0,0.02,-22.069,3.475,11.725,0.289,0.037,0.089,5418.0,0.075,0.033,0.02,-99.0,15.057,1,0.0,0.0,0.6,1,0,0,0.0,GBT,3.44,0.0,13.39,1,13.53,13.23,20055.0,0.0,13.39,0,0.0,1,10052.0,13.43,13.53,0
rf0141,0.016,0.205,0.026,0.01,2.634,0.059,15.964,0.107,-99.0,19.157,0.042,0.678,0.082,0.773,0.245,0.146,18.2619,0.078,-99.0,-99.0,6.14,17.726,16.693,17.44,0.336,1.417,0.0,-99.0,17.307,0.6,0.259,12.22,-99.0,0.026,2.239,3.016,1.158,1.027,8.03,-99.0,4627.6,-99.0,0.022,-16.739,2.195,17.197,0.266,0.034,0.031,4627.6,0.037,-99.0,0.021,15.551,18.562,0,0.0,0.0,0.68,0,0,0,0.0,ALFALFA,3.35,0.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
